image,predicted,expected,correct
ca884.png,TULEG0,ILEG0,0
ca900.png,5TARKL,STARK11,0
co1018.png,8U413T,ABU4137,0
co1049.png,JX-10000,JX1000,0
co122.png,X,000XXX,0
co1431.png,83ZY,832AXV,0
co184.png,5TL-MHA,371MHA,0
co192.png,X,031XOP,0
co74.png,M11-51H,411SJW,0
co818.png,N1GF,016FGM,0
co918.png,G3T-RJA,637RJH,0
ct1475.png,55LU,725SLV,0
ct233.png,C84C5J,251RGF,0
ct362.png,4H0-515,WH0515,0
ct455.png,0NN-MAN,C0NNMAN,0
ct499.png,PAT-NZ0,471NZO,0
ct59.png,Y,392YNJ,0
ct704.png,0AMET5,644ETS,0
ct766.png,88CCC5,232MMA,0
ct83.png,0-C5,267WJE,0
ct833.png,8CC59,126PLK,0
ct839.png,ALMNK,444MWK,0
ct863.png,Z85-XHK,285XHK,0
ct879.png,ZGPT,126PTU,0
dc1008.png,0PT1G0,DP7160,0
dc1038.png,AW0CC0Z,AX2247,0
dc106.png,8Z05Z3,BA0523,0
dc1065.png,083043,DB3043,0
dc1096.png,0CU0TE,DCV0TE,0
dc1118.png,8C49ZT,BC4922,0
dc1246.png,8R193Z,BR1932,0
dc1253.png,80000Z,800002,0
dc1294.png,CMZ1G94J,CW1694,0
dc1348.png,NG4G,DZ4646,0
dc1415.png,K,CX4887,0
dc1498.png,0094TTZTT,DD9477,0
dc1542.png,AXAT10EF1N,CD3503,0
dc156.png,80000Z,800002,0
dc1575.png,C0Z80G5,CD8065,0
dc1596.png,0TZ1555,DZ1555,0
dc188.png,800Z00Z,800002,0
dc522.png,0W0CX-WW,BJ3710,0
dc545.png,Z0Z3G8,2368,0
dc765.png,0A983G,DA9836,0
dc97.png,80000Z,800002,0
de0.png,508T3G,508736,0
de1057.png,Z00000,200000,0
de1203.png,GG8130,668130,0
de1254.png,4Z1TT4,421774,0
de1288.png,19TG59,197659,0
de1519.png,TZ190Z,721902,0
de1608.png,HPT5GZ,HP7562,0
de387.png,198G0G,198606,0
de395.png,8480481,848048,0
de681.png,498354,498354,1
de793.png,G9G1T,69617,0
de931.png,Z1190T,211907,0
de959.png,0TGG34,C76634,0
fl1167.png,C0PTEA,7164HF,0
fl1225.png,WTU0,W772UQ,0
fl1307.png,TA0ANY,I404MY,0
fl227.png,FLNGP00,FLNGP00,1
fl234.png,P1NELLA5,H507VU,0
fl26.png,G15G,615KPI,0
fl512.png,NL--,CUST0M,0
fl559.png,TTYCL,707YCC,0
fl823.png,YG8E8,Y6BYG,0
fl830.png,J8LXKH,981XXH,0
fl920.png,NT8Y,N788BY,0
ga1260.png,8JL93833,BJL833,0
ga1314.png,HALT5,HW1155,0
ga1484.png,N0WEEE8,BMN2079,0
ga151.png,8UN0GG9,BVN0669,0
ga16.png,A5Z10T4,ASN1074,0
ga31.png,APUA5TA0,APM5740,0
hi1005.png,WTE-0MU,WTFDMV,0
hi103.png,GZG341,GZG347,0
hi1106.png,KTEZ88,KTE268,0
hi1134.png,WZAZT5,MZA275,0
hi1214.png,HL8G1,MSH861,0
hi130.png,HGXZ1Z,HGX212,0
hi1559.png,J05TMAUP0,JUSTMAUID,0
hi157.png,HXNG91,HXM691,0
hi302.png,KUU441,KVU441,0
hi481.png,KUA44Z,KVA442,0
hi503.png,AL0HA5TATE,KAB277,0
hi505.png,KTU9T9,KTU979,0
hi588.png,AL0HA5TATE,HBD331,0
hi597.png,A10T4,AA974,0
hi609.png,AT0KA,568201,0
hi685.png,A8E840,BE840,0
hi72.png,M1H5K0,WH6K0,0
hi817.png,5X5TATE5,PSX960,0
hi841.png,KZF8ZT,KZF827,0
hi89.png,HUR83T,HWR837,0
ia1025.png,J,469BWW,0
ia1376.png,AZWYG,042WYG,0
ia1387.png,440N00,444NOQ,0
ia1419.png,TZW04,712WQA,0
ia1458.png,5ZHJ,5812HJ,0
ia215.png,339-HAT,339HAT,0
ia289.png,E,8584HH,0
ia396.png,GJ0518,J0518,0
ia462.png,G9GPAT,696PAI,0
ia537.png,5TGPR0,576PBQ,0
ia547.png,3ZGXLH,326XLH,0
ia553.png,81G3HJ,8363HJ,0
ia695.png,1,683ZCL,0
ia760.png,T8818Z,7881BZ,0
ia779.png,39TC0W,397CQW,0
ia842.png,T18A05,778AOS,0
id1163.png,AA58,693ABA,0
id1191.png,C4E5,8862,0
id1280.png,ANUE,IDAH0HI,0
id1320.png,4ZU0,2006R,0
id137.png,C0UGER,C0UGAR,0
id140.png,TEL1GRL,DELIGRL,0
id1405.png,88L890,8BL8976,0
id1409.png,T5UUAN,SQUAW,0
id1416.png,0RTETER,DRIFTER,0
id1485.png,ZCT358,2CZ3587,0
id1567.png,1ZG5TZ,46914,0
id1645.png,0ARL,I64081,0
id238.png,Z8G49,2B699,0
id254.png,5A0AH001U,BL0GGER,0
id260.png,TEZE1GE,1A2E468,0
id400.png,833333,B33333,0
id415.png,HY0R0,HYDR01,0
id42.png,TAAAGT9,1AA4679,0
id513.png,JT10T94,1T10294,0
id539.png,0L0PC0RL,0LDGRL,0
id665.png,U841T,1AD849T,0
id688.png,FA11Z0T,71227,0
id770.png,1U8T13,1AVB713,0
id825.png,5TZ10AH0-,MNW235,0
id860.png,K0L13ZA,1ADL132,0
id913.png,TP0CR1K,UPDCRIK,0
id991.png,FTU550,108565,0
id997.png,830Z,9B352T,0
il1102.png,59TT1,5977144,0
il1148.png,G343404,G343404,1
il1200.png,PLTFRN,PLTFRM,0
il126.png,G985G,H694856,0
il1302.png,Z33308,H233308,0
il1328.png,1R0NY,IR0NY,0
il1339.png,L1119,4141119,0
il1373.png,Z18-5914,9185914,0
il1480.png,4Z33184,4233784,0
il1481.png,881Z044,8812044,0
il1587.png,CH1CAG0,CHICAG0,0
il197.png,5Z05303,5205303,0
il202.png,G0Z3411,6023411,0
il214.png,LZT98,L824788,0
il330.png,1545G4,K545614,0
il372.png,1Z990GG,T299066,0
il393.png,3Z30G0,A323060,0
il596.png,01U1G98,QIU1688,0
il608.png,-F0M1LY,FAMILY,0
il616.png,H103801,H103801,1
il638.png,9G3810,96381A,0
il696.png,40G91G0,4069160,0
il804.png,T--CUT,5415791,0
il906.png,410-1134,4701134,0
in1076.png,TAN1,194MJM,0
in1184.png,5ANYTEXT,ANYTEXT,0
in1266.png,058GAE,858GAB,0
in1334.png,8EG005,BEG0DS,0
in1658.png,N0G005,N0G0DS,0
in367.png,ZZUTN,221TAN,0
in549.png,CZ9-HA,904AFL,0
in870.png,R01805,824BOJ,0
ks1105.png,-ANTAK-WPAWF4,987BYN,0
ks252.png,1Z35AM,123SAM,0
ks50.png,034-A00,034ADQ,0
ky1217.png,88508,BBG50B,0
ky1249.png,G9T-88M,697BBM,0
ky319.png,P54J,697BBM,0
ky452.png,Z03J,209JVC,0
ky476.png,T1-J,778JCC,0
ky69.png,344-JM,344JMD,0
ky729.png,54T-KPE,547KPE,0
la1064.png,WRK589,MRK589,0
la11.png,8G9804,W869804,0
la1109.png,NJP85T,NJP857,0
la1160.png,8588TT9,B588779,0
la1177.png,X,PKX512,0
la1213.png,NPJTGG,NPJ766,0
la1356.png,UZTHEACL14,UZTHE4C,0
la1444.png,4,OQK466,0
la1616.png,UTPT81,VTP781,0
la163.png,01TG43,OIT643,0
la237.png,LF5G58,LFS658,0
la244.png,CZH9G4,CZH964,0
la275.png,TAF389,TAF389,1
la298.png,LP08,LPB635,0
la380.png,X,ANYTEXT,0
la405.png,0GG34Z,X066342,0
la571.png,PCH050,PCM050,0
la691.png,8YJT338,VJT338,0
la7.png,1KRM489,KRM489,0
la701.png,LFW391,LFM397,0
la746.png,8395483,B395483,0
la787.png,NRM3315W0T,NRM331,0
la806.png,XZ43499,X243499,0
ma1014.png,15ZJK8,152JK8,0
ma115.png,Y,35YF25,0
ma1180.png,T8881,78BL81,0
ma1230.png,1G8PH5,168PH5,0
ma142.png,F8TZLY,72LY,0
ma1506.png,8GTJG8,86TJ68,0
ma1614.png,4ZEN9,421EM9,0
ma246.png,4Z80,4280,0
ma257.png,T4CU10,14CV10,0
ma49.png,8ZZ515,2515,0
ma700.png,TZA5AGA,8249AG,0
ma78.png,TACU10,14CV10,0
ma805.png,L0TC,WRLDTC,0
ma836.png,Y,20FY20,0
ma880.png,AY4H1NANN,196XJY,0
ma902.png,ZG5ZWE,2652WE,0
ma912.png,EW55,5555,0
ma948.png,AC10FF,16FF,0
md1035.png,AJK5Z1G,AJK216,0
md1046.png,5AM5PLE,SAMPLE,0
md1107.png,T8P500G,7BPD06,0
md1304.png,EMU00ZG,0026,0
md1392.png,1908Z4K,19024K,0
md1430.png,MM-ZE09P15,A000956,0
md1585.png,9TG88G,976BB0,0
md178.png,000U,0,0
md223.png,A0T80,ADT80S,0
md284.png,01TM149,017M149,0
md29.png,WMHRR-0-,4DLR50,0
md356.png,CTH85Z3,CTH523,0
md510.png,FRE5PCH,FRESPCH,0
md520.png,0T583ZF,07532F,0
md645.png,0T530T,A075307,0
md725.png,UT558Z0,VTS820,0
md783.png,30883,3DDB31,0
md874.png,CTH85Z3,CTH523,0
md925.png,ARK0TZ,ARW072,0
md962.png,0H858ZZ,DHB822,0
me1074.png,J,KHAAANN,0
me1078.png,P0005E,M0000SE,0
me1330.png,5,MDJJS5,0
me1418.png,MA1NENW,6725SC,0
me1432.png,45KA55,16991,0
me1453.png,ZAL-AK0,241AKD,0
me1502.png,GGZ8LG,6628LG,0
me1518.png,1435GK,1435GK,1
me1605.png,81-A80,481ABQ,0
me1628.png,135GK,1435GK,0
me20.png,50MY5TRZ,0MYSTRZ,0
me203.png,MA1NEW50UT,100AJA,0
me471.png,G5AA5,965AAS,0
me542.png,4303H1,4303HI,0
me775.png,HMGUT0E,MMGUIDE,0
me847.png,G100AJA,100AJA,0
me872.png,1AAAMAY,8348KQ,0
mi1055.png,MA55HK,A39HK,0
mi1155.png,8LF55G3,BLF5563,0
mi1175.png,CFAT3G0,CFA7360,0
mi1322.png,TTPRE0,C2TURB0,0
mi1346.png,8EY4554,BCX4554,0
mi1593.png,5A0EGG,AQE66,0
mi172.png,00N0AAT0NR,D0N0R,0
mi242.png,C0LP1NG,G0LFING,0
mi309.png,5AN00A,AA00A,0
mi40.png,8YCZ441,BXC2341,0
mi585.png,5AMPL,SAMPL,0
mi984.png,34ZJ,4BXG21,0
mn1081.png,PAPZG3,PAP263,0
mn110.png,G13048,7364,0
mn1111.png,WUCZT1,UUC271,0
mn1140.png,ATHE15T,ATHEIST,0
mn1224.png,085NKE,085NXE,0
mn1292.png,9,903GZR,0
mn1457.png,A5C1C,845CTC,0
mn1544.png,----,MW369,0
mn1618.png,GZGT88,2678,0
mn332.png,5Z3AEZ,523AEZ,0
mn378.png,GLFZ88,GLF288,0
mn429.png,FHPET03,FMP703,0
mn485.png,0NHA81TAT,DN242,0
mn518.png,8RECHT-,BRECHT,0
mn64.png,EUA931,EVA931,0
mn723.png,PAPZG3,PAP263,0
mn764.png,00,BT000,0
mn96.png,GK0G3,GK063,0
mn980.png,0CE35,DCE353,0
mo1212.png,T,DE8Y2A,0
mo1450.png,TA,HF1C7G,0
mo1654.png,TA,0CA069,0
mo528.png,X,158CSX,0
mo565.png,A,FB8A3E,0
mo856.png,A,FF2C9E,0
ms1062.png,015--NFG,015NF6,0
ms1122.png,WRW935,WRW935,1
ms1189.png,Z059,2C058,0
ms1340.png,EK553,EJK553,0
ms1342.png,E5LM58NNM,G026,0
ms143.png,F509-TG9,FSQ769,0
ms1441.png,18G--LAP,188LAP,0
ms1447.png,0TAF8ZT,QTA827,0
ms1467.png,RFL94T,RFI947,0
ms1551.png,EN3834,N3934,0
ms456.png,HNE-T39,HNP739,0
ms458.png,KTA--001,KTA001,0
ms478.png,1Z3ZA8C,123ABC,0
ms527.png,HN0-19G,HNQ196,0
ms639.png,TA0-85G,TAD856,0
ms909.png,ZNHF-G1G,2AH616,0
mt155.png,NH-04148A,404148A,0
nc1010.png,1-GT3,TZY6473,0
nc1079.png,WH-5853,WWM5953,0
nc1116.png,0RA-,0594,0
nc1126.png,LTARHEEL,1TARHEELS,0
nc1202.png,CXK-51TG,LXK5176,0
nc1289.png,T3538,ZVN3934,0
nc1309.png,5HP-15G1,SHP1561,0
nc1407.png,K-38,KWV3918,0
nc1443.png,ARAF3,2250,0
nc1488.png,WT80,WXF7388,0
nc1499.png,ET51,G0945,0
nc1531.png,H18-5154,WTB9154,0
nc1570.png,F5TA1NE,SXN9714,0
nc1579.png,4,KYP4595,0
nc1655.png,FYN-ZG00,EXN2894,0
nc216.png,WY1N,XHILR8N1,0
nc224.png,EF0T4,E074,0
nc436.png,5ZPLZ,T2R,0
nc489.png,R85-G0,RBS84,0
nc514.png,3580,MTC5982,0
nc541.png,CURE0H0,CURE4HD,0
nc551.png,5TL1,JSD7911,0
nc610.png,ZGG1N,2861,0
nc615.png,WE-GT09,WYF8749,0
nc724.png,U5-Z0F,CVS20E,0
nc79.png,0G99,0BX40699,0
nc812.png,0FF3G8T,3887,0
nc86.png,1NZ-Z03T,ANZ2431,0
nc946.png,HNA-GT00,MNA6704,0
nc969.png,5HEETTH1NG,SWEETTHING,0
nc977.png,ZT00,Q0900,0
nd1227.png,CHUY55R,CHVYSSR,0
nd1372.png,GXJ915,GXJ915,1
nd1381.png,PL8088,PL8DB8,0
nd1452.png,GTF0G3,GTF063,0
nd1525.png,ENCZ39-,ENC239,0
nd1568.png,ECT9TT,ECT977,0
nd1660.png,0UPG38-,DJP638,0
nd272.png,0HH48G,DWH486,0
nd343.png,RERG55,73011,0
nd563.png,R0Z5JL501T,JLS011,0
nd662.png,HGM083,HGM083,1
nd916.png,088G3,BB63,0
nd93.png,YN8TT33,HNB773,0
nd99.png,HCA5Z0,HCA520,0
ne280.png,0UNG95,0JW695,0
ne745.png,50ZTTZ,5D2772,0
ne790.png,NT398-,0JT898,0
ne90.png,0RZ4GG,0RZ466,0
ne979.png,RUL948,RJL946,0
nh1244.png,0U1LL5,QUILLS,0
nh1273.png,ANYANJU8,S0X1FAN,0
nh1411.png,494ZG4,2494264,0
nh1470.png,F85R,9C067,0
nh150.png,A050Z,1410502,0
nh1557.png,X,FIX169C,0
nh228.png,TG095Z,760952,0
nh247.png,RE-81Z,REBIZ,0
nh326.png,U8UNTU,UBUNTU,0
nh567.png,Z085885,2085885,0
nh598.png,-NEE,NFFE,0
nh605.png,A,1859C,0
nh71.png,Z499ZT5,2499275,0
nh738.png,5488T3,548873,0
nh763.png,FAT-CHX,FATCHX,0
nh799.png,Z4T-040,2470410,0
nh811.png,GAGGE0,GAGGED,0
nh846.png,5ATZ08,541245,0
nh882.png,CT51814,2757814,0
nh932.png,104-1G08,1041608,0
nh936.png,-CG383,2635819,0
nj104.png,YJU-,KLX41C,0
nj1174.png,KAP0R0,KAP0R0,1
nj1238.png,NW1UTKJ,W17K,0
nj1257.png,AAK0000,AAA0000,0
nj1428.png,PLT-E5K,PLT65K,0
nj1497.png,NJR34AAFG5,R34AAF,0
nj1520.png,EN0N,ZLR10N,0
nj243.png,55Z0E,5520,0
nj250.png,UXXZ1N,UXX71N,0
nj348.png,ALTE,KLX41C,0
nj389.png,NPAZGF,NPJ26F,0
nj45.png,8Y553E,BY993E,0
nj479.png,ZA5ANP,SAMP,0
nj552.png,YAWETF,YAH87F,0
nj600.png,TUP1,ZUP36A,0
nj611.png,RPRL5U,RPR15J,0
nj63.png,UYRG1E,JYR91E,0
nj654.png,5ZZ3,2422,0
nj683.png,EZ135,EVZ135,0
nj754.png,UARATE,UAA47C,0
nj814.png,015AEC,D15AEC,0
nj864.png,TMU51A,ZMU91A,0
nj885.png,RZ5800,RZJ80D,0
nj891.png,NZW9TY,NZV97Y,0
nj92.png,TC5T45,ZCS74S,0
nj937.png,RLUME,BUYME,0
nm1265.png,LY-GG,LLY441,0
nm1423.png,W333,LLL333,0
nm373.png,M100,NM100,0
nm576.png,LM8-Z03,LMB203,0
nm582.png,LN5304,LMS301,0
nm647.png,LJK49Z0,LJK920,0
nm922.png,LJH53GT,LJM367,0
nv100.png,LUUP0KR,LUVP0KR,0
nv1086.png,GT0-5GU,670SGU,0
nv1279.png,CRK5CR1,CRKSCRW,0
nv1414.png,4T0-WYF,470MYF,0
nv1583.png,3ZG-NE8,326NEB,0
nv1597.png,Z59-PK,259PWK,0
nv1624.png,51T-WJN,212UJM,0
nv1665.png,T18-M88,418WBB,0
nv1667.png,F5LWLA,351WLA,0
nv442.png,TMEN-,BATMANX,0
nv464.png,08-UGY,DD8UGY,0
nv483.png,5T-PMH,552PML,0
nv497.png,5EW011,094MWJ,0
nv604.png,GT3-N1E,673NTE,0
nv637.png,850-UUH,650VYM,0
nv679.png,599-MAR,599MAR,0
nv698.png,TLG0,LTLGT0,0
nv756.png,839-UGR,839VGA,0
nv768.png,5AMPLE,SAMPLE,0
nv831.png,304-5ZT,304SZT,0
nv940.png,05T-5HE,057SMF,0
nv952.png,93G-N18,936MTB,0
ny1077.png,10-4GG,ADL4681,0
ny1110.png,CHT-903T,CHT9032,0
ny1166.png,FAE5954,FAE5954,1
ny1237.png,ACLT518,ACX7518,0
ny1255.png,A8CT345,ABC2345,0
ny1496.png,PEAT-G913,EAZ6913,0
ny1517.png,F8R5TA0,FBR1449,0
ny1663.png,FNUYANRA,NUYAWRK,0
ny279.png,T-GGT8,DCG6624,0
ny466.png,FAK45G3,FAA4563,0
ny524.png,FAEG13T,FAE6137,0
ny599.png,PA00L105,PADDL10S,0
ny705.png,A8CZ345,ABC2345,0
ny717.png,HFU5000,AFV5000,0
ny749.png,T0R8T,10FB87,0
ny873.png,AAKZT08,AAA2208,0
ny942.png,FP5943,FCP5943,0
ny986.png,PATLT45T,ATL7457,0
oh1158.png,WCH1Z5G,MCH1256,0
oh1631.png,W05T80,DWQ5780,0
oh200.png,015G84T,DIS6847,0
oh862.png,ZH5P,29HSP,0
ok1101.png,3,676DWS,0
ok1261.png,JTT4040,202AER,0
ok1344.png,Z3Z1FFE,321FEE,0
ok48.png,FATG,FBH476,0
ok556.png,---N,093GOK,0
ok667.png,18GE,786EQY,0
ok919.png,H00ZAN,002AGN,0
or1034.png,5ZG-800,526BQU,0
or124.png,9A1EXW,941EXW,0
or1303.png,09144,09144,1
or1331.png,UUE55GT,UVE567,0
or1459.png,X5Z50T5,XSZ075,0
or1509.png,0TEP0LZZZ,UZP660,0
or1609.png,UW0T89,UWQ789,0
or1623.png,5KTE51T,SKT517,0
or206.png,000888,000BBB,0
or240.png,L0LWUT,L0LWUT,1
or256.png,94ZF0L,942FQL,0
or266.png,AYZN0,NY2ND,0
or270.png,ANYATE1T,ANYTEXT,0
or382.png,TAE5351,TAE351,0
or439.png,UNFZ1Z1,UNF121,0
or526.png,800G1T,00617,0
or612.png,UK5949,UKS949,0
or795.png,00503,04503,0
or822.png,Y0R431,YDR431,0
or907.png,1988,149BPB,0
or985.png,34Z30,34230,0
pa118.png,PER5,PMM33,0
pa1183.png,GGG-05G3,GGG0563,0
pa1211.png,M0T0RZ,M0T0RZ,1
pa1286.png,0U010,IQU010,0
pa1451.png,X,XCG6033,0
pa1600.png,YYKZGZ8G,YYX2828,0
pa1632.png,GHG-5ZG9,GHG5269,0
pa1652.png,0YL-4905,DYL4905,0
pa357.png,EHE-8Z3T,EHE8237,0
pa374.png,X,ANYTEXT,0
pa411.png,GTM-GAA5,GTM8445,0
pa525.png,PAPL55,PAPL8S,0
pa534.png,A5UKA,ASUKA,0
pa584.png,HPP41Z0,HPP4120,0
pa845.png,0UK-0943,DVK0943,0
pa905.png,GTX-89GZ,GTX8962,0
pa958.png,H0T0RZ,M0T0RZ,0
ri1020.png,HA-TG3,WA763,0
ri1080.png,1MNA,12345,0
ri1275.png,00-839,QQ839,0
ri1558.png,4R1-05,XO706,0
ri1634.png,X,MX117,0
ri165.png,08-G34,GB634,0
ri267.png,G9T-Z41,697241,0
ri342.png,LR105J,KS693,0
ri502.png,1Z3519,723579,0
ri562.png,WA-TG3-,WA763,0
ri583.png,LEEGT4,EE674,0
ri649.png,WET3K,713731,0
ri65.png,R1AT405-Z,ZT714,0
ri669.png,EU51G,EV516,0
ri797.png,Y01-T43Z,QT743,0
ri840.png,934-ZZ,934219,0
ri892.png,R1-05EE81,VO820,0
ri939.png,14-GZ5,714625,0
ri956.png,LR105,NV298,0
sc1026.png,E1TG,GJE176,0
sc1114.png,A8C41Z3,ABC123,0
sc412.png,GCGGGG8,GCG668,0
sc432.png,C0L441,CDI441,0
sc440.png,8U8ZZ5,BWB725,0
sd1068.png,1NUG5G,1NU656,0
sd186.png,Z053,29CA53,0
sd300.png,1NUG5G,1NU656,0
sd46.png,GZ403,MG2403,0
sd486.png,1WG01,1WG011,0
sd904.png,NMGAP8R,MM6533,0
sd983.png,ZPL015,2PL015,0
tn1220.png,8Z4-UFP,824VFP,0
tn1274.png,999-0LM,999QLM,0
tn14.png,0UT-FR0NT,0UTFR0NT,0
tn1647.png,345-KHC,345KHC,0
tn1659.png,005-GFN,005GFN,0
tn211.png,138-FKH,738FKH,0
tn231.png,594-CK,594CYK,0
tn8.png,Z10-8,270BFJ,0
tn821.png,GGG-CYL,666CYL,0
tx1006.png,CCTA,BB1B001,0
tx1023.png,T,697BBJ,0
tx1030.png,881800L,BB1B001,0
tx128.png,8H5C10T,BH8G151,0
tx1455.png,P-08,BC5X489,0
tx1552.png,088R3G9,DB8R369,0
tx1573.png,8818001,BB1B001,0
tx194.png,8M1Z39,BM5T299,0
tx299.png,EK5-H54T,CK3H547,0
tx39.png,PH08,BB9H906,0
ut1091.png,ZZNT0E,622ZUP,0
ut111.png,T8G00,Z860VT,0
ut1476.png,1,TENKARA,0
ut427.png,85T1T8,887ZFB,0
ut741.png,Y,Z387RY,0
ut908.png,ZAZCZN,Z822AA,0
ut993.png,ZG9T8R,Z697BP,0
va1011.png,G0Z8013,602013,0
va1033.png,1T-5354,UZ5354,0
va1037.png,ZP0P01Z,P0PQIZ,0
va1067.png,TN0-84Z5,JND8425,0
va1072.png,0LWZ5T,LW1257,0
va1082.png,NUT5ACK,NUTSACK,0
va1128.png,YJH-T538,YJH7538,0
va1137.png,XGK-9Z39,XGK9239,0
va1164.png,AX0X5,1416EH,0
va1190.png,HZ048,WM2048,0
va1192.png,EECK,EECW,0
va1229.png,GAT98N0,4798WD,0
va1299.png,CN1309,CN1309,1
va1365.png,5AMPLE,SAMPLE,0
va1368.png,9999CF,9999CF,1
va1401.png,PRAM5,PF4415,0
va1437.png,1338UN,1338UN,1
va1463.png,10-T951,ZUC7951,0
va1503.png,UAWT1ZZ,JAM7122,0
va1523.png,KGU-55G1,KGV5561,0
va1664.png,1G5Z5T,265257,0
va183.png,5TCEH,2291TK,0
va236.png,R,ABD1840,0
va3.png,TLA-1000,LLA1000,0
va314.png,GEWP5Z411,PS2411,0
va341.png,5,1333LE,0
va398.png,ANTLG0T,ANTIG0V,0
va445.png,1ZT9AX,1279AX,0
va459.png,9999CF,9999CF,1
va469.png,813GHT,1361HI,0
va558.png,1RZY51R,JRZYSHR,0
va636.png,5,1255GM,0
va670.png,W409,ACP4019,0
va803.png,MUR-5AE,URSAE,0
va82.png,5895J,25895J,0
va961.png,TF-GG10,XXJ6610,0
vt108.png,W1ZGM5,BKW119,0
vt1092.png,8U15Y,GUTSY,0
vt121.png,5-U-,CSN932,0
vt1305.png,APCG38,APC838,0
vt1425.png,8881Z,CBB812,0
vt201.png,CKA3T5,CKA375,0
vt251.png,HAUFUN,HAVFUN,0
vt268.png,00000T,0,0
vt315.png,00000,0,0
vt370.png,P8RRRR,BRRRR,0
vt635.png,ANYTEXT,ANYTEXT,1
vt706.png,00000,0,0
vt792.png,U-GM5-,19012,0
vt9.png,U1-GM5G,7684,0
vt964.png,CK94T,CKB941,0
vt988.png,-UETRKGM5,ANH453,0
wa1071.png,PR1UACY,PRIVACY,0
wa1129.png,8T8-PFG,878PEG,0
wa114.png,GR0WAPR,GR0WAPR,1
wa1188.png,ANY-TEXT,ANYTEXT,0
wa1239.png,ZZR1E,922RIE,0
wa1241.png,1Z13Z-W,12132W,0
wa1412.png,RENL0N,222NNN,0
wa1439.png,GZT-HN1,627WWI,0
wa1456.png,135-KEU,135KEU,0
wa1641.png,8TT-WWT,627WWI,0
wa30.png,54-T0X,954ZDX,0
wa304.png,G0Z-JPG,602JPG,0
wa316.png,953-1T1,953TZY,0
wa325.png,L,95003,0
wa349.png,X,063JXB,0
wa468.png,03589,03589,1
wa533.png,00013,00013,1
wa742.png,GR8U,GR8BUNZ,0
wi1032.png,Y5TA5Y,XSTASY,0
wi1157.png,T80-AAA,780AAA,0
wi1378.png,8T1-H8T,871MBT,0
wi1426.png,TF0-T15,TFD715,0
wi144.png,315-NKX,315NKX,0
wi1536.png,FCY1Z,FGY127,0
wi1588.png,5G-HFJ,956HFJ,0
